Latitude;Longitude;Depth;Temperature;Se_ma
71.1;22.43;349;3.95;10
71.32;23.68;382;3.75;2
71.6;24.9;294;3.45;2
71.27;25.88;304;3.65;15
71.52;28.12;384;3.35;2
71.48;29.1;344;3.65;2
71.1;29.92;347;3.55;15
71.03;30.87;300;3.85;20
71.32;31.2;260;2.95;0
71.3;32.15;256;3.35;1
71.22;33.15;254;2.55;0
71.58;32.37;297;2.65;0
71.68;31.25;332;2.85;0
71.72;30.77;358;1.95;0
72.02;31.67;320;1.65;0
72.25;32.93;285;1.25;0
72.45;34.32;285;0.15;0
72.72;35.6;234;0.65;0
72.83;34.58;228;0.55;0
72.9;33.33;227;0.35;8
72.62;32.05;268;0.95;0
72.35;30.78;295;2.85;0
72.08;29.43;290;3.05;0
71.82;28.17;308;3.25;2
71.55;27;350;3.35;0
71.93;26.07;280;3.35;0
72.22;27.25;234;3.15;0
72.48;28.55;305;2.85;0
72.75;29.53;296;1.65;0
73.02;31.23;286;2.35;7
73.28;32.55;277;1.85;0
73.62;34.13;294;0.95;0
73.67;35.18;255;1.25;6
73.87;34.22;305;0.55;0
73.93;33.02;297;0.75;0
73.67;31.78;348;2.15;0
73.38;30.18;350;2.45;0
73.17;28.88;334;2.45;0
72.92;27.6;300;2.45;0
72.6;26.33;290;2.95;4
72.28;25.17;273;3.35;0
72.65;24.1;335;3.35;0
73.02;25.43;438;1.85;1
73.25;26.8;440;2.15;0
73.53;28.07;382;2.15;0
73.8;29.42;358;1.85;0
74.12;30.83;315;0.65;0
74.43;30.92;285;0.95;0
74.33;32.15;225;0.35;1
74.75;31.25;300;1.35;5
75.08;31.43;347;0.55;0
75.4;31.85;306;0.75;2
75.72;32.1;311;1.15;0
75.93;33.42;272;0.35;0
75.73;32.55;306;0.55;0
75.47;30.5;375;1.05;0
75.82;30.77;327;0.95;0
75.62;29.1;317;0.95;0
75.62;28.05;256;0.35;2
75.18;27.63;278;0.55;3
75.22;29.05;342;0.85;0
75.12;30.33;380;1.25;0
74.8;30;384;1.05;0
74.48;29.78;373;1.15;0
74.17;29.48;372;1.65;0
74.18;28.28;394;1.85;0
74.53;28.5;395;1.35;1
74.85;28.77;362;0.85;0
74.92;27.35;324;1.05;0
74.62;26.17;332;1.15;0
74.58;27.23;379;1.05;0
74.25;27;408;1.45;0
73.9;26.97;415;1.55;2
73.6;25.67;439;1.85;2
73.32;24.28;398;2.05;0
73.03;23.02;399;1.85;0
73.02;21.92;434;2.05;0
73.08;20.95;455;1.65;0
74.27;23.98;370;1.45;2
73.95;22.15;474;1.55;0
73.67;20.63;486;1.65;0
73.7;19.65;362;1.65;0
73.75;18.55;263;1.55;8
74.07;17.3;209;1.85;21
74.33;16.87;215;2.35;24
73.12;18.52;420;2.05;0
73.12;19.7;432;1.85;3
70.83;21.32;167;4.45;30
73.38;17.37;462;1.95;0
